configuration_id,arm,pool,q11_fact_count,q11_domain_count,serialized_chars,oracle_overlap
A3_l0.6_r1.0_k08,A3,deployed_n_union_k,6,3,31926,1
A3_l0.6_r1.0_k16,A3,deployed_n_union_k,9,3,29916,2
A3_l0.7_r0.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.7_r0.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.7_r0.0_k08,A3,deployed_n_union_k,6,3,31678,1
A3_l0.7_r0.0_k16,A3,deployed_n_union_k,5,2,30826,1
A3_l0.7_r0.5_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.7_r0.5_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l0.7_r0.5_k08,A3,deployed_n_union_k,6,3,31049,1
A3_l0.7_r0.5_k16,A3,deployed_n_union_k,5,2,31325,1
A3_l0.7_r1.0_k02,A3,deployed_n_union_k,6,3,30121,1
A3_l0.7_r1.0_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l0.7_r1.0_k08,A3,deployed_n_union_k,6,3,31926,1
A3_l0.7_r1.0_k16,A3,deployed_n_union_k,9,3,29916,2
A3_l0.8_r0.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.8_r0.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.8_r0.0_k08,A3,deployed_n_union_k,6,3,31678,1
A3_l0.8_r0.0_k16,A3,deployed_n_union_k,5,2,30826,1
A3_l0.8_r0.5_k02,A3,deployed_n_union_k,6,3,30121,1
A3_l0.8_r0.5_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l0.8_r0.5_k08,A3,deployed_n_union_k,6,3,31049,1
A3_l0.8_r0.5_k16,A3,deployed_n_union_k,9,3,30757,2
A3_l0.8_r1.0_k02,A3,deployed_n_union_k,6,3,30121,1
A3_l0.8_r1.0_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l0.8_r1.0_k08,A3,deployed_n_union_k,6,3,31926,1
A3_l0.8_r1.0_k16,A3,deployed_n_union_k,9,3,29916,2
A3_l0.9_r0.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l0.9_r0.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l0.9_r0.0_k08,A3,deployed_n_union_k,6,3,31678,1
A3_l0.9_r0.0_k16,A3,deployed_n_union_k,5,2,30826,1
A3_l0.9_r0.5_k02,A3,deployed_n_union_k,6,3,30121,1
A3_l0.9_r0.5_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l0.9_r0.5_k08,A3,deployed_n_union_k,6,3,31049,1
A3_l0.9_r0.5_k16,A3,deployed_n_union_k,9,3,30757,2
A3_l0.9_r1.0_k02,A3,deployed_n_union_k,6,3,30121,1
A3_l0.9_r1.0_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l0.9_r1.0_k08,A3,deployed_n_union_k,6,3,31926,1
A3_l0.9_r1.0_k16,A3,deployed_n_union_k,9,3,29916,2
A3_l1.0_r0.0_k02,A3,deployed_n_union_k,5,2,31083,1
A3_l1.0_r0.0_k04,A3,deployed_n_union_k,5,2,31131,1
A3_l1.0_r0.0_k08,A3,deployed_n_union_k,6,3,31678,1
A3_l1.0_r0.0_k16,A3,deployed_n_union_k,5,2,30826,1
A3_l1.0_r0.5_k02,A3,deployed_n_union_k,6,3,30121,1
A3_l1.0_r0.5_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l1.0_r0.5_k08,A3,deployed_n_union_k,6,3,31049,1
A3_l1.0_r0.5_k16,A3,deployed_n_union_k,9,3,31320,2
A3_l1.0_r1.0_k02,A3,deployed_n_union_k,6,3,30121,1
A3_l1.0_r1.0_k04,A3,deployed_n_union_k,6,3,30121,1
A3_l1.0_r1.0_k08,A3,deployed_n_union_k,6,3,31926,1
A3_l1.0_r1.0_k16,A3,deployed_n_union_k,9,3,29916,2
